atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
CO,juvenile,coho,2009,HE,herring,herring,879.8,0,47.3455,-122.5451,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,879.8,0,47.3455,-122.5451,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,864,0,47.36985,-122.3487,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,864,0,47.36985,-122.3487,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1605,0,47.37825,-122.3449,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1605,0,47.37825,-122.3449,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,860.3333333333334,0,47.55425,-122.4145667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,860.3333333333334,0,47.55425,-122.4145667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1080.5714285714287,0,47.68143333,-122.7779667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1080.5714285714287,0,47.68143333,-122.7779667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,898.5,0,47.7008,-122.4313167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,898.5,0,47.7008,-122.4313167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1608,0,47.72806667,-122.4200833,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1608,0,47.72806667,-122.4200833,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,927.3333333333334,0,47.75121667,-122.4034667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,927.3333333333334,0,47.75121667,-122.4034667,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1611.8,0,47.78011667,-122.4621167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1611.8,0,47.78011667,-122.4621167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1620.6,0,47.8246,-122.472,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1620.6,0,47.8246,-122.472,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,946.2727272727273,0,47.83295,-122.43295,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,946.2727272727273,0,47.83295,-122.43295,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1067.1764705882354,0,47.84825,-122.6482833,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1067.1764705882354,0,47.84825,-122.6482833,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1003.6666666666666,0,47.85235,-122.4918167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1003.6666666666666,0,47.85235,-122.4918167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,972.125,0,47.8565,-122.4880167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,972.125,0,47.8565,-122.4880167,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1021.875,0,47.90811667,-122.4578,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1021.875,0,47.90811667,-122.4578,Ricker,2009,mm,stomachs,per_volume,NA
